"ID","MonthlyIncome"
871,5712.61424458475
872,2617.48989313007
873,14317.3033773143
874,1946.73618895524
875,1788.40428166778
876,6823.114796035
877,5134.10933239179
878,1938.23040323813
879,2283.47292715436
880,15086.0892893556
881,11073.6185053625
882,2425.75456825732
883,6014.45779073814
884,5670.89797508709
885,6452.92503175165
886,6298.98199711105
887,5524.27333797174
888,6510.99229601143
889,5956.88115268955
890,2752.97973912123
891,6431.70294564251
892,9485.80307530721
893,9569.26283531164
894,5566.93190183665
895,10761.6348741748
896,10179.5093952712
897,10114.516474968
898,13963.7165698772
899,5782.80639533998
900,2686.50981517403
901,2482.05264572077
902,6341.93618474991
903,6192.25199042724
904,2723.71350405094
905,14173.7026614853
906,5495.1052649048
907,10294.684989409
908,6246.28189104352
909,2043.74094245949
910,2509.93945898826
911,18748.6130575102
912,2761.34359759066
913,2387.17646215119
914,10168.8854454
915,6377.38246858348
916,5964.55087235884
917,2599.47926202514
918,5773.10120266014
919,1862.72570137601
920,2778.27997762988
921,1979.40000870241
922,1915.61622806419
923,6385.30494726732
924,6496.8559719199
925,15171.4166340574
926,2101.74304442985
927,5779.83733744759
928,10587.4792039004
929,1478.78073151644
930,1969.44305992715
931,5653.82454852163
932,10231.5249713887
933,9825.5190693545
934,1992.50621706944
935,2260.7833516404
936,2102.5795116038
937,10271.2863629793
938,10709.4280174989
939,6849.89337140244
940,2121.64672305909
941,2790.81230095443
942,9709.77794578381
943,10513.4244309853
944,6391.19339304042
945,1802.97838501659
946,5835.02650726324
947,2062.04813919962
948,2426.31055072706
949,2844.58665808767
950,5537.0918211509
951,2458.70875438199
952,5553.04894683083
953,6000.58863309619
954,2019.78264860664
955,5787.90783500578
956,10666.3319026124
957,11866.8605235485
958,1447.37815244532
959,10268.4902872682
960,19528.7774090786
961,2409.22629812556
962,6312.16752416766
963,6157.89455195374
964,6889.13445782073
965,2426.65560973524
966,18951.6821992297
967,2132.10512408159
968,10186.0524521522
969,15158.3274277782
970,2213.71028585321
971,5562.01728226319
972,5771.4532928383
973,2019.63391610669
974,2509.93945898826
975,5995.51077003332
976,2459.56588680504
977,6791.41213522548
978,2397.29571005308
979,9944.88213672839
980,18926.0790978447
981,1940.62557608804
982,10181.0135366194
983,2327.42914579177
984,2176.21319663802
985,6122.0218353845
986,2753.97166074252
987,2371.816107697
988,5806.34973348585
989,10179.9732240594
990,2480.2820943062
991,6993.73624982697
992,2492.51014737857
993,6746.10329220829
994,5891.24089066403
995,5407.94361054428
996,6837.69249658152
997,2279.74663901531
998,15129.650694548
999,9706.95762039137
1000,1894.25749655495
1001,7390.1693405861
1002,5970.53970357098
1003,6521.40509168388
1004,7239.88387514467
1005,2594.58227374
1006,6092.70952971062
1007,2011.71535577241
1008,5768.45705669445
1009,18453.2538303723
1010,6336.18830272647
1011,10780.7812786795
1012,6980.41262944714
1013,5905.44599670262
1014,5801.19336779321
1015,5641.69361315715
1016,1997.12087942442
1017,2167.30692232555
1018,9801.84060921323
1019,10046.3149876836
1020,2173.94544004633
1021,5785.8094367361
1022,5685.3758600927
1023,6303.4023204958
1024,10401.6717353439
1025,14113.7433309894
1026,17967.9794972863
1027,7201.21539357573
1028,5886.17753859062
1029,6079.54148763026
1030,11523.6524663931
1031,5832.55105401966
1032,2944.14547101969
1033,10088.3450732763
1034,2664.56295891726
1035,5692.8693084317
1036,2322.20935548122
